id,code,name,name_ar
2Z,2Z,Millivolt ( mV ),
4K,4K,Milliampere ( mA ),
4O,4O,Microfarad ( microF ),
A87,A87,Gigaohm ( GOhm ),
A93,A93,Gram/Cubic meter ( g/m3 ),
A94,A94,Gram/cubic centimeter ( g/cm3 ),
AMP,AMP,Ampere ( A ),
ANN,ANN,Years ( yr ),
B22,B22,Kiloampere ( kA ),
B49,B49,Kiloohm ( kOhm ),
B75,B75,Megohm ( MOhm ),
B78,B78,Megavolt ( MV ),
B84,B84,Microampere ( microA ),
BAR,BAR,bar ( bar ),
BBL,BBL,Barrel (oil 42 gal.),برميل
BG,BG,Bag ( Bag ),
BO,BO,Bottle ( Bt. ),
BOX,BOX,Box,صندوق
C10,C10,Millifarad ( mF ),
C39,C39,Nanoampere ( nA ),
C41,C41,Nanofarad ( nF ),
C45,C45,Nanometer ( nm ),
C62,C62,Activity unit ( AU ),
CA,CA,Canister ( Can ),
CMK,CMK,Square centimeter ( cm2 ),
CMQ,CMQ,Cubic centimeter ( cm3 ),
CMT,CMT,Centimeter ( cm ),
CS,CS,Case ( Case ),
CT,CT,Carton ( Car ),
CTL,CTL,Centiliter ( Cl ),
D10,D10,Siemens per meter ( S/m ),
D33,D33,Tesla ( D ),
D41,D41,Ton/Cubic meter ( t/m3 ),
DAY,DAY,Days ( d ),
DMT,DMT,Decimeter ( dm ),
DRM,DRM,DRUM,أسطوانة
EA,EA,each (ST) ( ST ),
FAR,FAR,Farad ( F ),
FOT,FOT,Foot ( Foot ),
FTK,FTK,Square foot ( ft2 ),
FTQ,FTQ,Cubic foot ( ft3 ),
G42,G42,Microsiemens per centimeter ( microS/cm ),
GL,GL,Gram/liter ( g/l ),
GLL,GLL,gallon ( gal ),
GM,GM,Gram/square meter ( g/m2 ),
GPT,GPT,Gallon per thousand,جالون/الف
GRM,GRM,Gram ( g ),
H63,H63,Milligram/Square centimeter ( mg/cm2 ),
HHP,HHP,Hydraulic Horse Power,قوة حصان هيدروليكي
HLT,HLT,Hectoliter ( hl ),
HTZ,HTZ,Hertz (1/second) ( Hz ),
HUR,HUR,Hours ( hrs ),
IE,IE,Number of Persons ( PRS ),
INH,INH,Inch ( “” ),
INK,INK,Square inch ( Inch2 ),
IVL,IVL,Interval,فترة
JOB,JOB,JOB,وظيفة
KGM,KGM,Kilogram ( KG ),
KHZ,KHZ,Kilohertz ( kHz ),
KMH,KMH,Kilometer/hour ( km/h ),
KMK,KMK,Square kilometer ( km2 ),
KMQ,KMQ,Kilogram/cubic meter ( kg/m3 ),
KMT,KMT,Kilometer ( km ),
KSM,KSM,Kilogram/Square meter ( kg/m2 ),
KVT,KVT,Kilovolt ( kV ),
KWT,KWT,Kilowatt ( KW ),
LB,LB,pounds ,رطل
LTR,LTR,Liter ( l ),
LVL,LVL,Level,مستوي
M,M,Meter ( m ),
MAN,MAN,Man,رجل
MAW,MAW,Megawatt ( VA ),
MGM,MGM,Milligram ( mg ),
MHZ,MHZ,Megahertz ( MHz ),
MIN,MIN,Minute ( min ),
MMK,MMK,Square millimeter ( mm2 ),
MMQ,MMQ,Cubic millimeter ( mm3 ),
MMT,MMT,Millimeter ( mm ),
MON,MON,Months ( Months ),
MTK,MTK,Square meter ( m2 ),
MTQ,MTQ,Cubic meter ( m3 ),
OHM,OHM,Ohm ( Ohm ),
ONZ,ONZ,Ounce ( oz ),
PAL,PAL,Pascal ( Pa ),
PF,PF,Pallet ( PAL ),
PK,PK,Pack ( PAK ),
PMP,PMP,pump,مضخة
RUN,RUN,run,ركض
SH,SH,Shrink ( Shrink ),
SK,SK,Sack,كيس
SMI,SMI,Mile ( mile ),
ST,ST,"Ton (short,2000 lb)","طن (قصير,2000)"
TNE,TNE,Tonne ( t ),
TON,TON,Ton (metric),طن (متري)
VLT,VLT,Volt ( V ),
WEE,WEE,Weeks ( Weeks ),
WTT,WTT,Watt ( W ),
X03,X03,Meter/Hour ( m/h ),
YDQ,YDQ,Cubic yard ( yd3 ),
YRD,YRD,Yards ( yd ),
