id,code,name,name_ar
111,111,"Cultivation of grains and crops (except for rice), legumes and oilseeds",زراعة الحبوب والمحاصيل ( فيما عدا الارز ) والبقوليات والحبوب الزيتية
112,112,Cultivation of rice,زراعة الارز
113,113,"Growing vegetables, melons, roots and tubers",زراعة الخضر ؤالبطيخ والجذور والدرنات
114,114,Cultivation of sugar cane,زراعة قصب السكر
115,115,Tobacco cultivation,زراعة التبغ
116,116,Growing fiber crops,زراعة المحاصيل ذات الالياف
119,119,Cultivation of other non-perennial crops,زراعة المحاصيل غير المعمرة الاخرى
121,121,the cultivation of grapevines.,زراعة الكروم
122,122,Growing tropical and subtropical fruits,زراعة الفواكه الاستوائية وشبه الاستوائية
123,123,Cultivation of citrus fruits,زراعة الموالح
124,124,Cultivation of fruit with Date kernel and from palm trees,زراعة الفواكة ذات النواة والناتجة عن انواع النخيل
125,125,Plant fruit trees and shrubs and other nuts,زراعة أشجار وشجيرات الفواكهة والمكسرات الاخرى
126,126,Growing oil fruits,زراعة الفواكهة الزيتية
127,127,Cultivation of the crops from which drinks are extracted,زراعة المحاصيل التى تستخرج منها المشروبات
128,128,"Cultivation of spice crops, aromatics, medicine and pharmaceutical drugs",زراعة محاصيل التوابل والعطريات والادوية والعقاقير الصيدلانية
129,129,Cultivation of other perennial crops,زراعة المحاصيل المعمرة الاخرى
130,130,Crop breeding,تكاثر المحاصيل
141,141,Breeding of cattle and buffalo,تربية الماشية والجواميس
142,142,Breeding of horses and mare,تربية الخيول و الفرس
143,143,Breeding of camels,تربية الجمال والهجن
144,144,Breeding sheep and goats,تربية الخراف والماعز
145,145,Breeding of Pig,تربية الحنازير
146,146,Poultry farming,تربية الدواجن
149,149,Breeding other animals,تربية الحيوانات الاخرى
150,150,Mixed education,التربية المختلطة
161,161,Support activities for crop production,الانشطة الداعمة لانتاج المحاصيل
162,162,Activities in support of animal production,الانشطة الداعمة لانتاج الحيوانات
163,163,Post-harvest activities,الانشطة اللاحقة لحصاد المحاصيل
164,164,Preparing grains for reproduction,تجهيز الحبوب للتكاثر
170,170,"Hunting, erection, and related service activities",الصيد ونصب الاشراك وانشطة الخدمات ذات الصلة
210,210,Forest care and forest-related activities,رعاية الغابات والانشطة المتصلة بالغابات
220,220,Wood cutting,قطع الاخشاب
230,230,Assembling non-wood forest products,تجميع المنتجات غير الخشبية بالغابات
240,240,Forest support services,الخدمات الداعمة للغابات
311,311,Fishing,الصيد البحرى
312,312,River fishing,الصيد النهرى
321,321,Marine farms,المزارع البحرية
322,322,River farms,المزارع النهرية
411,411,Earn a job,كسب عمل
412,412,Income from government agencies salaries,ايرادات من مرتبات جهات حكوميه
413,413,Income and salaries from the public business sector,إيرادات ومرتبات من قطاع الاعمال العام
414,414,Income and salaries from the private sector,ايرادات ومرتبات من قطاع خاص
415,415,Income and salary from non-subject entities,ايرادات ومرتبات من جهات غير خاضعه
416,416,Inspection and sting,تفتيش ودمغة
441,441,Income of agricultural lands,ايرادالاراضي الزراعيه
442,442,Revenue from constructed real estate,ايراد العقارات المبنيه
444,444,Income of real estate activities,ايراد الانشطه العقاريه
451,451,Errand stamp,دمغة مأمورية
461,461,Revenue from non-funders,ايرادات غير الممولين
